資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20231006,000815,1,0,0,0.00
20231006,000815,2,0,0,0.00
20231006,000815,3,0,0,0.00
20231006,000815,4,0,0,0.00
20231006,000815,5,0,0,0.00
20231006,000815,6,0,0,0.00
20231006,000815,7,0,0,0.00
20231006,000815,8,0,0,0.00
20231006,000815,9,0,0,0.00
20231006,000815,10,0,0,0.00
20231006,000815,11,0,0,0.00
20231006,000815,12,0,0,0.00
20231006,000815,13,0,0,0.00
20231006,000815,14,0,0,0.00
20231006,000815,15,1,692412444,100.00
20231006,000815,16,0,0,0.00
20231006,000815,17,1,692412444,100.00
20231006,0050,1,371995,107005965,4.54
20231006,0050,2,261373,527869312,22.43
20231006,0050,3,33777,246855877,10.49
20231006,0050,4,9789,122329302,5.19
20231006,0050,5,4570,81197353,3.45
20231006,0050,6,3927,97460837,4.14
20231006,0050,7,1605,56019373,2.38
20231006,0050,8,818,37202680,1.58
20231006,0050,9,1256,85547467,3.63
20231006,0050,10,392,52409938,2.22
20231006,0050,11,105,29977742,1.27
20231006,0050,12,27,13408700,0.56
20231006,0050,13,14,10050068,0.42
20231006,0050,14,12,10605000,0.45
20231006,0050,15,79,875060386,37.18
20231006,0050,16,0,0,0.00
20231006,0050,17,689739,2353000000,100.00
20231006,0051,1,3209,765617,4.64
20231006,0051,2,3305,6133420,37.17
20231006,0051,3,293,2235375,13.54
20231006,0051,4,90,1112381,6.74
20231006,0051,5,49,908457,5.50
20231006,0051,6,28,703792,4.26
20231006,0051,7,12,406000,2.46
20231006,0051,8,6,273974,1.66
20231006,0051,9,11,777450,4.71
20231006,0051,10,6,753636,4.56
20231006,0051,11,0,0,0.00
20231006,0051,12,2,906898,5.49
20231006,0051,13,2,1523000,9.23
20231006,0051,14,0,0,0.00
20231006,0051,15,0,0,0.00
20231006,0051,16,0,0,0.00
20231006,0051,17,7013,16500000,100.00
20231006,0052,1,9739,2606569,5.72
20231006,0052,2,7034,12948034,28.45
20231006,0052,3,574,4318696,9.49
20231006,0052,4,109,1360722,2.99
20231006,0052,5,53,962440,2.11
20231006,0052,6,43,1068739,2.34
20231006,0052,7,12,438000,0.96
20231006,0052,8,6,272734,0.59
20231006,0052,9,15,1089178,2.39
20231006,0052,10,6,838000,1.84
20231006,0052,11,8,2555701,5.61
20231006,0052,12,3,1451187,3.18
20231006,0052,13,0,0,0.00
20231006,0052,14,2,1810000,3.97
20231006,0052,15,5,13780000,30.28
20231006,0052,16,0,0,0.00
20231006,0052,17,17609,45500000,100.00
20231006,0053,1,418,64335,1.28
20231006,0053,2,669,1264709,25.35
20231006,0053,3,77,642069,12.87
20231006,0053,4,13,171000,3.42
20231006,0053,5,15,286000,5.73
20231006,0053,6,3,79000,1.58
20231006,0053,7,1,40000,0.80
20231006,0053,8,3,145000,2.90
20231006,0053,9,3,190000,3.80
20231006,0053,10,3,427208,8.56
20231006,0053,11,2,537679,10.77
20231006,0053,12,0,0,0.00
20231006,0053,13,0,0,0.00
20231006,0053,14,0,0,0.00
20231006,0053,15,1,1141000,22.87
20231006,0053,16,0,0,0.00
20231006,0053,17,1208,4988000,100.00
20231006,0055,1,3436,1104158,1.50
20231006,0055,2,8881,18541273,25.34
20231006,0055,3,1391,10901500,14.90
20231006,0055,4,366,4688783,6.40
20231006,0055,5,230,4239686,5.79
20231006,0055,6,168,4307342,5.88
20231006,0055,7,77,2799435,3.82
20231006,0055,8,39,1873001,2.56
20231006,0055,9,72,5116432,6.99
20231006,0055,10,22,2858840,3.90
20231006,0055,11,11,3272550,4.47
20231006,0055,12,4,1881000,2.57
20231006,0055,13,1,630000,0.86
20231006,0055,14,0,0,0.00
20231006,0055,15,6,10940000,14.95
20231006,0055,16,0,0,0.00
20231006,0055,17,14704,73154000,100.00
20231006,0056,1,196859,64047942,1.01
20231006,0056,2,501843,1136598961,17.95
20231006,0056,3,114574,883381295,13.95
20231006,0056,4,40197,508847731,8.03
20231006,0056,5,23562,428952010,6.77
20231006,0056,6,20621,522489999,8.25
20231006,0056,7,9646,342872164,5.41
20231006,0056,8,5938,274568434,4.33
20231006,0056,9,9357,658046089,10.39
20231006,0056,10,3265,447163169,7.06
20231006,0056,11,901,244676696,3.86
20231006,0056,12,177,86501068,1.36
20231006,0056,13,56,39562629,0.62
20231006,0056,14,27,24242610,0.38
20231006,0056,15,83,669083203,10.56
20231006,0056,16,0,0,0.00
20231006,0056,17,927106,6331034000,100.00
20231006,0057,1,144,16085,1.05
20231006,0057,2,80,120140,7.86
20231006,0057,3,9,72766,4.76
20231006,0057,4,4,52000,3.40
20231006,0057,5,2,36000,2.35
20231006,0057,6,2,60000,3.92
20231006,0057,7,1,32000,2.09
20231006,0057,8,0,0,0.00
20231006,0057,9,2,178000,11.65
20231006,0057,10,2,267000,17.48
20231006,0057,11,1,251000,16.43
20231006,0057,12,1,442009,28.94
20231006,0057,13,0,0,0.00
20231006,0057,14,0,0,0.00
20231006,0057,15,0,0,0.00
20231006,0057,16,0,0,0.00
20231006,0057,17,248,1527000,100.00
20231006,0061,1,529,140450,0.10
20231006,0061,2,4508,10505797,8.13
20231006,0061,3,1106,9224276,7.14
20231006,0061,4,372,4835550,3.74
20231006,0061,5,292,5497649,4.25
20231006,0061,6,287,7470083,5.78
20231006,0061,7,142,5242947,4.06
20231006,0061,8,109,5176910,4.00
20231006,0061,9,208,15233419,11.79
20231006,0061,10,83,11478595,8.89
20231006,0061,11,37,10341893,8.00
